month,portfolio_value
2014-12-31,96.2
2015-01-31,104.96
2015-02-28,96.18
2015-03-31,106.72
2015-04-30,100.66
2015-05-31,96.53
2015-06-30,80.38
2015-07-31,75.41
2015-08-31,66.81
2015-09-30,73.75
2015-10-31,72.54
2015-11-30,61.89
2015-12-31,60.46
2016-01-31,55.08
2016-02-29,62.28
2016-03-31,72.74
2016-04-30,74.25
2016-05-31,74.76
2016-06-30,73.11
2016-07-31,75.92
2016-08-31,78.91
2016-09-30,72.83
2016-10-31,78.84
2016-11-30,79.46
2016-12-31,78.21
2017-01-31,75.91
2017-02-28,75.87
2017-03-31,71.97
2017-04-30,67.34
2017-05-31,66.89
2017-06-30,68.04
2017-07-31,63.29
2017-08-31,69.97
2017-09-30,65.12
2017-10-31,65.8
2017-11-30,71.06
2017-12-31,73.55
2018-01-31,64.93
2018-02-28,66.81
2018-03-31,72.14
2018-04-30,74.68
2018-05-31,78.11
2018-06-30,76.28
2018-07-31,74.38
2018-08-31,74.44
2018-09-30,64.3
2018-10-31,60.07
2018-11-30,50.94
2018-12-31,59.79
2019-01-31,58.83
2019-02-28,61.27
2019-03-31,58.69
2019-04-30,48.76
2019-05-31,51.49
2019-06-30,48.87
2019-07-31,42.8
2019-08-31,43.67
2019-09-30,41.23
2019-10-31,38.61
2019-11-30,44.4
2019-12-31,35.32
2020-01-31,31.84
2020-02-29,18.37
2020-03-31,29.74
2020-04-30,30.46
2020-05-31,30.37
2020-06-30,29.69
2020-07-31,29.31
2020-08-31,24.7
2020-09-30,24.16
2020-10-31,31.51
2020-11-30,33.68
2020-12-31,36.22
2021-01-31,44.99
2021-02-28,46.6
2021-03-31,45.86
2021-04-30,52.07
2021-05-31,55.46
2021-06-30,49.12
2021-07-31,48.18
2021-08-31,54.79
2021-09-30,55.71
2021-10-31,50.73
2021-11-30,52.39
2021-12-31,56.8
2022-01-31,63.76
2022-02-28,78.4
2022-03-31,81.93
2022-04-30,94.56
2022-05-31,76.24
2022-06-30,87.69
2022-07-31,92.59
2022-08-31,82.1
2022-09-30,97.31
2022-10-31,98.31
2022-11-30,87.26
2022-12-31,86.46
2023-01-31,83.64
2023-02-28,80.74
2023-03-31,80.78
2023-04-30,72.06
2023-05-31,80.95
2023-06-30,90.56
2023-07-31,92.5
2023-08-31,91.88
2023-09-30,89.25
2023-10-31,84.01
2023-11-30,82.01
2023-12-31,80.87
2024-01-31,79.56
2024-02-29,89.43
2024-03-31,85.0
2024-04-30,83.26
2024-05-31,76.63
2024-06-30,73.41
2024-07-31,67.05
2024-08-31,66.91
2024-09-30,63.69
2024-10-31,77.6
2024-11-30,74.85
